27064;O Vicedo;741;1657
36036;Oia;328;3104
32053;Oímbra;5;1713
15058;Oleiros;11;36922
15059;Ordes;4540;12605
15060;Oroso;1937;7530
15061;Ortigueira;2378;5485
32012;Os Blancos;82;745
32054;Ourense;14;104596
27038;Ourol;1304;984
27039;Outeiro de Rei;2701;5216
15062;Outes;845;6150
15902;Oza-Cesuras;2509;5170
15064;Paderne;286;2393
32055;Paderne de Allariz;61;1373
32056;Padrenda;105;1653
15065;Padrón;221;8317
27040;Palas de Rei;7097;3316
27041;Pantón;833;2429
32057;Parada de Sil;438;544
27042;Paradela;6931;1723
36037;Pazos de Borbén;64;2975
27045;Pedrafita do Cebreiro;1706;943
32058;Pereiro de Aguiar;88;6470
32060;Petín;43;879
32061;Piñor;482;1162
36041;Poio;1;17230
27046;Pol;6834;1634
36043;Ponte Caldelas;202;5548
36042;Ponteareas;42;22942
15068;Ponteceso;2127;5457
36044;Pontecesures;15;3081
15069;Pontedeume;41;7687
32064;Pontedeva;0;491
36038;Pontevedra;66;83114
32062;Porqueira;125;827
36040;Portas;54;2860
15071;Porto do Son;265;9155
27049;Portomarín;4832;1382
32065;Punxín;3;704
32066;Quintela de Leirado;156;614
27050;Quiroga;173;3151
27056;Rábade;24;1524
32067;Rairiz de Veiga;465;1223
32068;Ramirás;74;1507
36045;Redondela;44;29192
15072;Rianxo;43;11004
32069;Ribadavia;0;5005
27051;Ribadeo;3827;9871
36046;Ribadumia;3;5157
27052;Ribas de Sil;64;946
15073;Ribeira;129;26839
27053;Ribeira de Piquín;423;513
32071;Riós;531;1459
27054;Riotorto;1727;1213
36047;Rodeiro;8951;2361
15074;Rois;2423;4493
32073;Rubiá;0;1390
15075;Sada;14;16382
36049;Salceda de Caselas;6;9249
36050;Salvaterra de Miño;37;10048
27055;Samos;3744;1222
32074;San Amaro;137;1048
32075;San Cibrao das Viñas;4;5509
32076;San Cristovo de Cea;636;2072
15076;San Sadurniño;1783;2812
32070;San Xoán de Río;705;505
32077;Sandiás;92;1181
15077;Santa Comba;10793;9359
15078;Santiago de Compostela;2612;97858
15079;Santiso;2914;1529
36051;Sanxenxo;12;17635
32078;Sarreaus;443;1114
27057;Sarria;12050;13257
36052;Silleda;7141;8845
27059;Sober;651;2243
15080;Sobrado;4984;1778
36053;Soutomaior;30;7482
27060;Taboada;6189;2689
32079;Taboadela;146;1452
15082;Teo;161;18778
32081;Toén;0;2374
36054;Tomiño;295;13730
15083;Toques;2871;1101
15084;Tordoia;6037;3228
15085;Touro;4392;3495
27061;Trabada;2551;1114
32082;Trasmiras;48;1261
15086;Trazo;7300;3059
27062;Triacastela;2578;627
36055;Tui;42;17398
15088;Val do Dubra;3253;3816
15087;Valdoviño;653;6872
36056;Valga;85;5768
15089;Vedra;507;5032
32084;Verea;411;914
32085;Verín;55;13644
32086;Viana do Bolo;1627;2787
36057;Vigo;54;293837
36059;Vila de Cruces;3587;5097
36058;Vilaboa;22;5955
